StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
17,9443.468,9295.634,1176.677,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9356.151,9266.804,1185.455,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9304.163,9245.239,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9240.869,9244.754,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9241.123,9211.21,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9338.438,9204.277,1192.3,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9403.569,9181.46,1198.859,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9498.698,9154.583,1208.409,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9575.735,9130.836,1216.144,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9647.488,9109.844,1223.358,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9724.706,9084.289,1231.118,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9811.03787300877,9066.83105658493,1239.78206068399,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9878.941,9062.74,1240,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
18,10121.984,9496.573,1120.004,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
18,10094.269,9582.578,1120.745,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
18,10057.303,9685.019,1115.452,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
19,9456.703,8955.12,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
19,9513.494516212,8957.19825264755,1259.99217130943,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
19,9578.18236667301,8962.01195978275,1259.99349239216,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
19,9701.397,8993.28,1249.725,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
19,9818.162,9025.8,1240,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9456.703,8955.12,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9358.398,8952.15,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9277.412,8970.369,1253.392,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9184.413,9003.638,1245.414,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9098.689,9012.175,1237.76,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9053.557,8983.78,1233.336,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9031.492,8887.397,1223.755,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8985.823,8774.524,1212.73,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8946.983,8651.231,1200.322,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8928.024,8571.165,1192.256,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8900.354,8468.602,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8869.07800047772,8559.31181833801,1189.65872155143,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8851.289,8710.321,1182.5,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8832.768,8820.389,1177.393,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8819.38,8923.746,1172.593,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8811.03,9020.493,1167.992,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8795.572,9089.533,1164.6,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8786.824,9192.343,1159.526,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8773.172,9281.805,1155.738,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8813.517,9355.637,1148.645,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,8911.111,9423.428,1137.724,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9006.84,9469.959,1127.902,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9121.431,9511.878,1116.229,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9208.593,9547.037,1107.266,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9317.126,9583.811,1096.112,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9371.913,9617.692,1090.397,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9515.742,9624.118,1090.409,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9561.23367107911,9643.32392866914,1092.21756142186,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
20,9600.37413720604,9664.68803291345,1094.24744482827,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9456.703,8955.12,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9508.761,8929.9,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9571.91,8914.529,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9674.15,8892.893,1268.993,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9784.556,8872.864,1279.844,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
21,9757.53077544219,8790.05117297342,1280.0112700846,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
22,9795.33,7995.367,1280,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
